NUTS_ID_2013,NUTS_LABEL,Share_of_retail_in_employment_2020,Change_rate
CZ05,Severovýchod,0.09,0.00
NL21,Overijssel,0.16,0.00
CZ03,Jihozápad,0.09,0.00
SI04,Zahodna Slovenija,0.09,0.00
HR05,Grad Zagreb,0.11,0.00
DEA2,Köln,0.15,0.00
AT31,Oberösterreich,0.11,0.01
PL84,Podlaskie,0.12,0.01
NL12,Friesland (NL),0.18,0.01
RO42,Vest,0.12,0.01
BE35,Prov. Namur,0.14,0.01
AT11,Burgenland (AT),0.17,0.01
DEE0,Sachsen-Anhalt,0.10,0.01
NL32,Noord-Holland,0.14,0.01
DK01,Hovedstaden,0.12,0.01
CZ06,Jihovýchod,0.10,0.01
SK01,Bratislavský kraj,0.09,0.01
DEA4,Detmold,0.16,0.01
EL52,Kentriki Makedonia,0.19,0.02
DEC0,Saarland,0.19,0.02
NL11,Groningen,0.18,0.02
DE92,Hannover,0.15,0.02
NL41,Noord-Brabant,0.14,0.02
EE00,Eesti,0.12,0.02
DEF0,Schleswig-Holstein,0.16,0.03
NL13,Drenthe,0.18,0.03
FRY3,Guyane,0.75,0.03
DED4,Chemnitz,0.10,0.03
DEA5,Arnsberg,0.22,0.03
DK05,Nordjylland,0.16,0.03
ES64,Ciudad de Melilla,0.26,0.04
FRM0,Corse,0.17,0.04
DE72,Gießen,0.11,0.04
DED2,Dresden,0.10,0.04
NL31,Utrecht,0.14,0.04
EL30,Attiki,0.17,0.04
DED5,Leipzig,0.09,0.04
DK02,Sjælland,0.19,0.04
DK03,Syddanmark,0.14,0.04
DE94,Weser-Ems,0.14,0.04
DK04,Midtjylland,0.15,0.05
PL41,Wielkopolskie,0.20,0.06
ES23,La Rioja,0.13,0.06
BE10,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,0.10,0.06
DE73,Kassel,0.09,0.06
FR10,Île de France,0.08,0.07
DE50,Bremen,0.09,0.07
FRI3,Poitou-Charentes,0.17,0.08
FRL0,Provence-Alpes-Côte d'Azur,0.11,0.08
FRC1,Bourgogne,0.15,0.08
FRF3,Lorraine,0.14,0.08
FRE2,Picardie,0.15,0.09
FRE1,Nord-Pas-de-Calais,0.36,0.09
FRJ1,Languedoc-Roussillon,0.16,0.09
FRI2,Limousin,0.15,0.10
FRB0,Centre - Val de Loire,0.13,0.10
FRI1,Aquitaine,0.15,0.10
FRC2,Franche-Comté,0.15,0.10
FRY1,Guadeloupe,0.43,0.11
FRH0,Bretagne,0.12,0.11
FRJ2,Midi-Pyrénées,0.13,0.11
FRY4,La Réunion,0.19,0.12
FRG0,Pays-de-la-Loire,0.13,0.12
BE33,Prov. Liège,0.14,0.12
FRK1,Auvergne,0.13,0.12
FRD2,Haute-Normandie,0.15,0.13
BE22,Prov. Limburg (BE),0.11,0.14
BE23,Prov. Oost-Vlaanderen,0.10,0.15
FRF2,Champagne-Ardenne,0.13,0.16
BE32,Prov. Hainaut,0.17,0.17
BE25,Prov. West-Vlaanderen,0.11,0.20
BE21,Prov. Antwerpen,0.10,0.21
